T [fm^-1]		beta_pi
0.001		1.077339668138e-61
0.0015		1.16610391777044e-56
0.002		4.37310452568694e-53
0.0025		2.5961918521607e-50
0.003		4.80306505990545e-48
0.0035		3.97349406266218e-46
0.004		1.82359726939497e-44
0.0045		5.33583913481064e-43
0.005		1.09460803179578e-41
0.0055		1.68474842424942e-40
0.006		2.0453616780249e-39
0.0065		2.03456769609284e-38
0.007		1.70794211541251e-37
0.0075		1.23864091285798e-36
0.008		7.90841729410376e-36
0.0085		4.51454114136409e-35
0.009		2.33385992844839e-34
0.0095		1.10440621742285e-33
0.01		4.8274212802783e-33
0.0105		1.96425039304298e-32
0.011		7.48975545204614e-32
0.0115		2.69175597016343e-31
0.012		9.16408286191006e-31
0.0125		2.96857310481769e-30
0.013		9.18557101865622e-30
0.0135		2.72437359443452e-29
0.014		7.76904658917695e-29
0.0145		2.13602758027276e-28
0.015		5.67622626911463e-28
0.0155		1.4611540992502e-27
0.016		3.65084297148773e-27
0.0165		8.87048537438378e-27
0.017		2.09934416867309e-26
0.0175		4.84689705405499e-26
0.018		1.09318525597047e-25
0.0185		2.41173555394557e-25
0.019		5.2105459144924e-25
0.0195		1.10363695915322e-24
0.02		2.29400722643394e-24
0.0205		4.68373918729721e-24
0.021		9.40144752293599e-24
0.0215		1.85673193249715e-23
0.022		3.6106098323312e-23
0.0225		6.91817294069425e-23
0.023		1.30696668131045e-22
0.0235		2.43592794988404e-22
0.024		4.48166199095717e-22
0.0245		8.14368788110217e-22
0.025		1.46227499957849e-21
0.0255		2.59578358580892e-21
0.026		4.55756635330917e-21
0.0265		7.91781092538232e-21
0.027		1.36162372659685e-20
0.0275		2.31873797459918e-20
0.028		3.91149422752885e-20
0.0285		6.53846515874873e-20
0.029		1.08340048010796e-19
0.0295		1.77997203695588e-19
0.03		2.9004974817099e-19
0.0305		4.68905124907759e-19
0.031		7.52251185673296e-19
0.0315		1.19787928207571e-18
0.032		1.89381404069358e-18
0.0325		2.9732598563565e-18
0.033		4.63652323262082e-18
0.0335		7.18298157712295e-18
0.034		1.10574425592829e-17
0.0345		1.69170088027163e-17
0.035		2.57270129777204e-17
0.0355		3.88979635260782e-17
0.036		5.84800694386765e-17
0.0365		8.74382308777044e-17
0.037		1.3003897052945e-16
0.0375		1.92392403836066e-16
0.038		2.83208009883489e-16
0.0385		4.14843986278421e-16
0.039		6.04758068988204e-16
0.0395		8.77505103957528e-16
0.04		1.26747628918933e-15
0.0405		1.82264063125947e-15
0.041		2.60963572184254e-15
