T [fm^-1]		beta_pi
0.188		3.73993122442419e-05
0.1888		3.83969748001342e-05
0.1896		3.94146397090705e-05
0.1904		4.04525787463534e-05
0.1912		4.15110657533078e-05
0.192		4.25903766442454e-05
0.1928		4.36907894134493e-05
0.1936		4.48125841422664e-05
0.1944		4.59560430061903e-05
0.1952		4.7121450282095e-05
0.196		4.83090923554396e-05
0.1968		4.95192577275883e-05
0.1976		5.07522370232036e-05
0.1984		5.20083229976501e-05
0.1992		5.32878105445188e-05
0.2		5.45909967031932e-05
0.2008		5.59181806664957e-05
0.2016		5.72696637884084e-05
0.2024		5.86457495918377e-05
0.2032		6.00467437764861e-05
0.204		6.14729542267873e-05
0.2048		6.29246910199298e-05
0.2056		6.4402266433926e-05
0.2064		6.59059949558049e-05
0.2072		6.74361932898337e-05
0.208		6.89931803658967e-05
0.2088		7.05772773478837e-05
0.2096		7.21888076422317e-05
0.2104		7.38280969064753e-05
0.2112		7.54954730579816e-05
0.212		7.71912662826995e-05
0.2128		7.89158090440655e-05
0.2136		8.06694360919297e-05
0.2144		8.24524844716677e-05
0.2152		8.42652935333171e-05
0.216		8.61082049408525e-05
0.2168		8.79815626815695e-05
0.2176		8.98857130755719e-05
0.2184		9.18210047852964e-05
0.2192		9.37877888252807e-05
0.22		9.57864185719464e-05
0.2208		9.78172497734327e-05
0.2216		9.98806405597759e-05
0.2224		0.000101976951452965
0.2232		0.000104106545377211
0.224		0.000106269787669361
0.2248		0.000108467046089414
0.2256		0.000110698690831136
0.2264		0.000112965094532858
0.2272		0.000115266632288354
0.228		0.000117603681657866
0.2288		0.000119976622679274
0.2296		0.0001223858378794
0.2304		0.000124831712285456
0.2312		0.000127314633436572
0.232		0.00012983499139563
0.2328		0.00013239317876096
0.2336		0.000134989590678547
0.2344		0.000137624624854084
0.2352		0.000140298681565304
0.236		0.0001430121636745
0.2368		0.000145765476641111
0.2376		0.000148559028534566
0.2384		0.000151393230047191
0.2392		0.000154268494507385
0.24		0.000157185237892865
0.2408		0.000160143878844192
0.2416		0.000163144838678301
0.2424		0.000166188541402459
0.2432		0.000169275413728113
0.244		0.000172405885085191
0.2448		0.000175580387636354
0.2456		0.000178799356291607
0.2464		0.00018206322872301
0.2472		0.000185372445379626
0.248		0.000188727449502629
0.2488		0.000192128687140612
0.2496		0.000195576607165147
0.2504		0.000199071661286533
0.2512		0.000202614304069656
0.252		0.00020620499295018
0.2528		0.000209844188250956
0.2536		0.000213532353198544
0.2544		0.000217269953940057
0.2552		0.000221057459560111
0.256		0.000224895342098154
0.2568		0.000228784076565997
0.2576		0.000232724140965316
0.2584		0.000236716016305879
0.2592		0.000240760186623585
0.26		0.000244857138998901
0.2608		0.0002490073635756
0.2616		0.000253211353579661
0.2624		0.00025746960533853
0.2632		0.000261782618300486
0.264		0.000266150895054435
0.2648		0.000270574941349853
0.2656		0.000275055266117003
0.2664		0.00027959238148753
0.2672		0.000284186802815252
0.268		0.000288839048697223
0.2688		0.000293549640995142
0.2696		0.000298319104856952
0.2704		0.000303147968738907
0.2712		0.000308036764427674
0.272		0.000312986027063106
0.2728		0.00031799629516093
0.2736		0.000323068110635991
0.2744		0.000328202018825767
0.2752		0.000333398568514207
0.276		0.000338658311955785
0.2768		0.000343981804900114
0.2776		0.000349369606616663
0.2784		0.000354822279919874
0.2792		0.000360340391194806
0.28		0.000365924510422818
0.2808		0.000371575211207887
0.2816		0.000377293070803183
