T [fm^-1]		beta_Pi
0.25338655		9.67802353631328e-05
0.258454281		0.000106457308346799
0.263522012		0.000116818521585385
0.268589743		0.000127875948787465
0.273657474		0.000139664477217097
0.278725205		0.000152216313294018
0.283792936		0.000165564936228212
0.288860667		0.000179745341356844
0.293928398		0.00019479417636531
0.298996129		0.000210749865616331
0.30406386		0.000227652735424751
0.309131591		0.000245545143231717
0.314199322		0.000264471611841203
0.319267053		0.000284478969002781
0.324334784		0.000305616492706303
0.329402515		0.000327936061994163
0.334470246		0.000351492313014865
0.339537977		0.000376342799832402
0.344605708		0.000402548159341229
0.349673439		0.000430172278386926
0.35474117		0.000459282462285069
0.359808901		0.000489949601403899
0.364876632		0.000522248334173695
0.369944363		0.000556257200712797
0.375012094000001		0.000592058784797
0.380079825000001		0.000629739836742427
0.385147556000001		0.000669391371683311
0.390215287000001		0.000711108736829593
0.395283018000001		0.000754991639235532
0.400350749000001		0.000801144129609678
0.405418480000001		0.000849674539636196
0.410486211000001		0.000900695372652599
0.415553942000001		0.000954323169353217
0.420621673000001		0.00101067835917382
0.425689404000001		0.00106988517880695
0.430757135000001		0.00113207173080163
0.435824866000001		0.00119737031880211
0.440892597000001		0.00126591828656023
0.445960328000001		0.00133785959802671
0.451028059000001		0.00141334752013923
0.456095790000001		0.00149254870559387
0.461163521000001		0.00157564905302024
0.466231252000001		0.00166286135515452
0.471298983000001		0.00175443454086983
0.476366714000001		0.00185066361031042
0.481434445000001		0.00195189880049686
0.486502176000001		0.00205855178593833
0.491569907000001		0.00217109651715385
0.496637638000001		0.00229006292297837
0.501705369000001		0.0024160229846613
0.506773100000001		0.00254957106070526
0.511840831000001		0.00269130179915161
0.516908562000001		0.00284179121130666
0.521976293000001		0.00300158498940272
0.527044024000001		0.00317119706419704
0.532111755000001		0.00335111757004838
0.537179486000001		0.00354182889987653
0.542247217000001		0.00374382471897045
0.547314948000001		0.00395762885523946
0.552382679000001		0.00418381228951344
0.557450410000001		0.00442300384300993
0.562518141000001		0.00467589955923057
0.567585872000001		0.0049432662429309
0.572653603000001		0.00522594335257328
0.577721334000001		0.00552484456016473
0.582789065000001		0.00584095807338655
0.587856796000001		0.00617534638905892
0.592924527000001		0.00652914908924844
0.597992258000001		0.00690358348359249
0.603059989000001		0.00729994782293038
0.608127720000001		0.00771962625601679
0.613195451000001		0.00816409150747708
0.618263182000001		0.0086349132724944
0.623330913000001		0.00913376079980248
0.628398644000001		0.00966241497530486
0.633466375000001		0.0102227732217021
0.638534106000001		0.0108168624488814
0.643601837000002		0.0114468487511412
0.648669568000002		0.012115051756363
0.653737299000002		0.012823959612576
0.658805030000002		0.0135762473357884
0.663872761000002		0.0143748004498843
0.668940492000002		0.015222736783736
0.674008223000002		0.016123438518344
0.679075954000002		0.0170805847287132
0.684143685000002		0.0180981911003684
0.689211416000002		0.0191806531440947
0.694279147000002		0.0203327974087206
0.699346878000002		0.021559923806328
0.704414609000002		0.0228678641048724
0.709482340000002		0.0242630169548495
0.714550071000002		0.0257523755606585
0.719617802000002		0.0273435299813823
0.724685533000002		0.0290446322258578
0.729753264000002		0.0308642854219989
0.734820995000002		0.0328113817602593
0.739888726000002		0.0348948166305482
0.744956457000002		0.0371231432988617
0.750024188000002		0.0395041094095702
0.755091919000002		0.0420441514522024
0.760159650000002		0.0447478895416829
0.765227381000002		0.0476177342970555
0.770295112000002		0.0506536368893612
0.775362843000002		0.053853107157478
0.780430574000002		0.057211507092411
0.785498305000002		0.0607226098042215
0.790566036000002		0.0643792970920386
0.795633767000002		0.0681743231074968
0.800701498000002		0.0721010282413986
0.805769229000002		0.0761538112156725
0.810836960000002		0.0803284795343551
0.815904691000002		0.0846222969121625
0.820972422000002		0.0890339257571759
0.826040153000002		0.0935632267373388
0.831107884000002		0.0982109928991817
0.836175615000002		0.102978696131549
0.841243346000002		0.107868243226041
0.846311077000002		0.112881765449714
0.851378808000002		0.118021474711546
0.856446539000002		0.123289551333286
0.861514270000002		0.128688056697627
0.866582001000002		0.134218907919155
0.871649732000002		0.139883860058631
0.876717463000002		0.145684494042882
0.881785194000002		0.151622235348002
0.886852925000002		0.157698366846077
0.891920656000002		0.163914050219824
0.896988387000002		0.170270347255995
0.902056118000003		0.176768242444353
0.907123849000003		0.183408657728916
0.912191580000003		0.190192475528628
0.917259311000003		0.197120554704418
0.922327042000003		0.204193738467352
0.927394773000003		0.21141287290431
0.932462504000003		0.218778810102692
0.937530235000003		0.226292420506895
0.942597966000003		0.233954592965759
0.947665697000003		0.241766245161418
0.952733428000003		0.249728322149533
0.957801159000003		0.257841799174518
0.962868890000003		0.266107683114399
0.967936621000003		0.274527011603812
0.973004352000003		0.283100853543817
0.978072083000003		0.291830306773636
0.983139814000003		0.300716497730613
0.988207545000003		0.309760578142639
0.993275276000003		0.318963725267874
0.998343007000003		0.328327137516616
1.003410738		0.337852033249501
1.008478469		0.347539648510358
1.0135462		0.357391234379114
1.018613931		0.367408055147385
1.023681662		0.377591385859686
1.028749393		0.387942510130908
1.033817124		0.398462718121652
1.038884855		0.40915330477628
1.043952586		0.420015567774921
1.049020317		0.431050806223485
1.054088048		0.442260318646178
1.059155779		0.453645401695901
1.06422351		0.46520734871591
1.069291241		0.47694744856731
1.074358972		0.488866984535693
1.079426703		0.500967233307839
1.084494434		0.513249463856295
1.089562165		0.525714936580114
1.094629896		0.538364903091193
1.099697627		0.551200604833093
1.104765358		0.564223273108805
1.109833089		0.577434128048785
1.11490082		0.590834378574707
1.119968551		0.604425221952
1.125036282		0.61820784325158
