T [fm^-1]		beta_Pi
0.25338655		9.41487856094286e-05
0.258454281		0.000103333733605626
0.263522012		0.000113137539721558
0.268589743		0.000123585630673347
0.273657474		0.000134704133284093
0.278725205		0.00014651992501577
0.283792936		0.0001590606892162
0.288860667		0.000172354975503625
0.293928398		0.000186432265753726
0.298996129		0.00020132304619964
0.30406386		0.000217058886205057
0.309131591		0.000233672524323674
0.314199322		0.000251197962316133
0.319267053		0.000269670567857612
0.324334784		0.000289127186736637
0.329402515		0.000309606265418199
0.334470246		0.000331147984922755
0.339537977		0.000353794407057289
0.344605708		0.000377589634126199
0.349673439		0.000402579983348675
0.35474117		0.000428814177315803
0.359808901		0.000456343551936297
0.364876632		0.000485222283444298
0.369944363		0.000515507636177675
0.375012094000001		0.000547260232980642
0.380079825000001		0.000580544350242587
0.385147556000001		0.000615428239754729
0.390215287000001		0.000651984479750855
0.395283018000001		0.000690290357696617
0.400350749000001		0.00073042828760767
0.405418480000001		0.000772486264909042
0.410486211000001		0.000816558362096852
0.415553942000001		0.000862745268737067
0.420621673000001		0.00091115487962442
0.425689404000001		0.000961902935238533
0.430757135000001		0.00101511371897213
0.435824866000001		0.00107092081596621
0.440892597000001		0.00112946793877424
0.445960328000001		0.00119090982548988
0.451028059000001		0.00125541321641207
0.456095790000001		0.00132315791578741
0.461163521000001		0.0013943379456613
0.466231252000001		0.00146916279938713
0.471298983000001		0.00154785880288029
0.476366714000001		0.00163067059226972
0.481434445000001		0.00171786271716785
0.486502176000001		0.00180972137937151
0.491569907000001		0.00190655631739631
0.496637638000001		0.00200870284782455
0.501705369000001		0.0021165240750135
0.506773100000001		0.00223041328124106
0.511840831000001		0.0023507965098402
0.516908562000001		0.00247813535427956
0.521976293000001		0.00261292996644679
0.527044024000001		0.00275572229756171
0.532111755000001		0.00290709958514736
0.537179486000001		0.00306769809926059
0.542247217000001		0.00323820716072874
0.547314948000001		0.00341937344332728
0.552382679000001		0.00361200557064708
0.557450410000001		0.00381697901677212
0.562518141000001		0.00403524131774041
0.567585872000001		0.00426781759790918
0.572653603000001		0.00451581641190944
0.577721334000001		0.00478043589849572
0.582789065000001		0.00506297023744637
0.587856796000001		0.00536481639430159
0.592924527000001		0.00568748113053997
0.597992258000001		0.00603258824809753
0.603059989000001		0.00640188602735572
0.608127720000001		0.00679725480658997
0.613195451000001		0.00722071463828397
0.618263182000001		0.00767443294381694
0.623330913000001		0.0081607320729388
0.628398644000001		0.00868209665810526
0.633466375000001		0.00924118063605958
0.638534106000001		0.00984081379176545
0.643601837000002		0.0104840076605573
0.648669568000002		0.0111739606068463
0.653737299000002		0.0119140618801153
0.658805030000002		0.0127078944329455
0.663872761000002		0.0135592362725096
0.668940492000002		0.0144720601065432
0.674008223000002		0.0154505310397474
0.679075954000002		0.0164990020752376
0.684143685000002		0.0176220071837421
0.689211416000002		0.0188242517168308
0.694279147000002		0.020110599963781
0.699346878000002		0.0214860596872508
0.704414609000002		0.0229557635141232
0.709482340000002		0.0245249471154773
0.714550071000002		0.0261989241754628
0.719617802000002		0.0279830582234691
0.724685533000002		0.0298827314923117
0.729753264000002		0.0319033110540423
0.734820995000002		0.0340501125882886
0.739888726000002		0.0363283622273457
0.744956457000002		0.0387431570302254
0.750024188000002		0.041299424715311
0.755091919000002		0.044001883372099
0.760159650000002		0.0468550019208338
0.765227381000002		0.0498629621479062
0.770295112000002		0.0530296231465343
0.775362843000002		0.0563584889966138
0.780430574000002		0.0598526804724827
0.785498305000002		0.0635149115021531
0.790566036000002		0.0673474710059822
0.795633767000002		0.0713522106213754
0.800701498000002		0.0755305386710954
0.805769229000002		0.0798834205749266
0.810836960000002		0.0844113857378671
0.815904691000002		0.0891145407548847
0.820972422000002		0.0939925886243854
0.826040153000002		0.0990448534875153
0.831107884000002		0.104270310268966
0.836175615000002		0.109667618482404
0.841243346000002		0.115235159399306
0.846311077000002		0.120971075644315
0.851378808000002		0.126873312360767
0.856446539000002		0.132939659023708
0.861514270000002		0.139167791027363
0.866582001000002		0.145555310254985
0.871649732000002		0.152099783905457
0.876717463000002		0.158798780976442
0.881785194000002		0.165649905869464
0.886852925000002		0.172650828734339
0.891920656000002		0.179799312333483
0.896988387000002		0.187093235196077
0.902056118000003		0.194530611044367
0.907123849000003		0.202109604572896
0.912191580000003		0.209828543632404
0.917259311000003		0.217685928091339
0.922327042000003		0.225680435574618
0.927394773000003		0.233810924352368
0.932462504000003		0.242076433749204
0.937530235000003		0.250476182323645
0.942597966000003		0.259009564202498
0.947665697000003		0.26767614380767
0.952733428000003		0.276475649378332
0.957801159000003		0.285407965455202
0.962868890000003		0.294473124658186
0.967936621000003		0.30367129893397
0.973004352000003		0.313002790486784
0.978072083000003		0.322468022642173
0.983139814000003		0.33206753060933
0.988207545000003		0.341801952416524
0.993275276000003		0.351672020031907
0.998343007000003		0.361678550835208
1.003410738		0.371822439425704
1.008478469		0.38210464969187
1.0135462		0.392526207545279
1.018613931		0.403088193817471
1.023681662		0.413791737957905
1.028749393		0.424638011859572
1.033817124		0.435628224313254
1.038884855		0.446763616176625
1.043952586		0.458045455832499
1.049020317		0.469475035292492
1.054088048		0.481053667237051
1.059155779		0.492782682766716
1.06422351		0.504663431559144
1.069291241		0.516697281264757
1.074358972		0.52888562463086
1.079426703		0.541229888189496
1.084494434		0.553731554219596
1.089562165		0.566392199821593
1.094629896		0.57921357417266
1.099697627		0.592197748785828
1.104765358		0.605347393269005
1.109833089		0.618666238220915
1.11490082		0.632159396615675
1.119968551		0.645831321483692
1.125036282		0.659675509852763
