tau [fm]		R_PiNS^-1
1.835		-0.757122
1.84		-0.759466
1.845		-0.761821
1.85		-0.764188
1.855		-0.766567
1.86		-0.768958
1.865		-0.771362
1.87		-0.773777
1.875		-0.776205
1.88		-0.778646
1.885		-0.7811
1.89		-0.783566
1.895		-0.786045
1.9		-0.788537
1.905		-0.791042
1.91		-0.793561
1.915		-0.796093
1.92		-0.798639
1.925		-0.801198
1.93		-0.803771
1.935		-0.806358
1.94		-0.808959
1.945		-0.811574
1.95		-0.814204
1.955		-0.816847
1.96		-0.819506
1.965		-0.822179
1.97		-0.824866
1.975		-0.827569
1.98		-0.830286
1.985		-0.833019
1.99		-0.835766
1.995		-0.838529
2		-0.841308
2.005		-0.844102
2.01		-0.846911
2.015		-0.849736
2.02		-0.852578
2.025		-0.855435
2.03		-0.858308
2.035		-0.861198
2.04		-0.864103
2.045		-0.867026
2.05		-0.869964
2.055		-0.87292
2.06		-0.875892
2.065		-0.878881
2.07		-0.881887
2.075		-0.88491
2.08		-0.88795
2.085		-0.891008
2.09		-0.894083
2.095		-0.897175
2.1		-0.900285
2.105		-0.903413
2.11		-0.906559
2.115		-0.909722
2.12		-0.912904
2.125		-0.916103
2.13		-0.919321
2.135		-0.922557
2.14		-0.925812
2.145		-0.929085
2.15		-0.932376
2.155		-0.935687
2.16		-0.939016
2.165		-0.942364
2.17		-0.945731
2.175		-0.949117
2.18		-0.952522
2.185		-0.955947
2.19		-0.959391
2.195		-0.962854
2.2		-0.966337
2.205		-0.969839
2.21		-0.973362
2.215		-0.976904
2.22		-0.980466
2.225		-0.984048
2.23		-0.98765
2.235		-0.991272
2.24		-0.994915
2.245		-0.998577
2.25		-1.00226
2.255		-1.00596
2.26		-1.00969
2.265		-1.01343
2.27		-1.0172
2.275		-1.02099
2.28		-1.02479
2.285		-1.02862
2.29		-1.03247
2.295		-1.03634
2.3		-1.04023
2.305		-1.04415
2.31		-1.04808
2.315		-1.05204
2.32		-1.05602
2.325		-1.06001
2.33		-1.06404
2.335		-1.06808
2.34		-1.07214
2.345		-1.07623
2.35		-1.08034
2.355		-1.08447
2.36		-1.08862
2.365		-1.09279
2.37		-1.09699
2.375		-1.10121
2.38		-1.10545
2.385		-1.10971
2.39		-1.114
2.395		-1.11831
2.4		-1.12264
2.405		-1.127
2.41		-1.13137
2.415		-1.13577
2.42		-1.14019
2.425		-1.14464
2.43		-1.14911
2.435		-1.1536
2.44		-1.15811
2.445		-1.16265
2.45		-1.16721
2.455		-1.17179
2.46		-1.1764
2.465		-1.18103
2.47		-1.18569
2.475		-1.19036
2.48		-1.19506
2.485		-1.19979
2.49		-1.20454
2.495		-1.20931
2.5		-1.2141
2.505		-1.21892
2.51		-1.22376
2.515		-1.22863
2.52		-1.23352
2.525		-1.23843
2.53		-1.24337
2.535		-1.24833
2.54		-1.25332
2.545		-1.25833
2.55		-1.26337
2.555		-1.26842
2.56		-1.27351
2.565		-1.27861
2.57		-1.28374
2.575		-1.2889
2.58		-1.29408
2.585		-1.29928
2.59		-1.31553
2.595		-1.315
2.6		-1.31446
2.605		-1.3139
2.61		-1.31334
2.615		-1.31276
2.62		-1.31216
2.625		-1.31156
2.63		-1.31094
2.635		-1.31032
2.64		-1.30968
2.645		-1.30903
2.65		-1.30836
2.655		-1.30769
2.66		-1.30701
2.665		-1.30631
2.67		-1.30561
2.675		-1.30489
2.68		-1.30416
2.685		-1.30343
2.69		-1.30268
2.695		-1.30192
2.7		-1.30115
2.705		-1.30038
2.71		-1.29959
2.715		-1.2988
2.72		-1.29799
2.725		-1.29718
2.73		-1.29635
2.735		-1.29552
2.74		-1.29468
2.745		-1.29383
2.75		-1.29297
2.755		-1.2921
2.76		-1.29123
2.765		-1.29034
2.77		-1.28945
2.775		-1.28855
2.78		-1.28765
2.785		-1.28673
2.79		-1.28581
2.795		-1.28488
2.8		-1.28394
2.805		-1.28299
2.81		-1.28204
2.815		-1.28108
2.82		-1.28011
2.825		-1.27914
2.83		-1.27816
2.835		-1.27717
2.84		-1.27618
2.845		-1.27518
2.85		-1.27417
2.855		-1.27316
2.86		-1.27214
2.865		-1.27111
2.87		-1.27008
2.875		-1.26904
2.88		-1.268
2.885		-1.26695
2.89		-1.2659
2.895		-1.26483
2.9		-1.26377
2.905		-1.2627
2.91		-1.26162
2.915		-1.26054
2.92		-1.25945
2.925		-1.25836
2.93		-1.25726
2.935		-1.25616
2.94		-1.25505
2.945		-1.25394
2.95		-1.25282
2.955		-1.2517
2.96		-1.25057
2.965		-1.24944
2.97		-1.24831
2.975		-1.24717
2.98		-1.24602
2.985		-1.24487
2.99		-1.24372
2.995		-1.24256
3		-1.2414
3.005		-1.24024
3.01		-1.23907
3.015		-1.2379
3.02		-1.23672
3.025		-1.23554
3.03		-1.23436
3.035		-1.23317
3.04		-1.23198
3.045		-1.23079
3.05		-1.22959
3.055		-1.22839
3.06		-1.22719
3.065		-1.22598
3.07		-1.22477
3.075		-1.22356
3.08		-1.22234
3.085		-1.22112
3.09		-1.2199
3.095		-1.21868
3.1		-1.21745
3.105		-1.21622
3.11		-1.21499
3.115		-1.21375
3.12		-1.21251
3.125		-1.21127
3.13		-1.21003
3.135		-1.20878
3.14		-1.20753
3.145		-1.20628
3.15		-1.20503
3.155		-1.20377
3.16		-1.20252
3.165		-1.20126
3.17		-1.2
3.175		-1.19873
3.18		-1.19747
3.185		-1.1962
3.19		-1.19493
3.195		-1.19366
3.2		-1.19238
3.205		-1.19111
3.21		-1.18983
3.215		-1.18855
3.22		-1.18727
3.225		-1.18599
3.23		-1.18471
3.235		-1.18342
3.24		-1.18213
3.245		-1.18085
3.25		-1.17956
3.255		-1.17826
3.26		-1.17697
3.265		-1.17568
3.27		-1.17438
3.275		-1.17309
3.28		-1.17179
3.285		-1.17049
3.29		-1.16919
3.295		-1.16789
3.3		-1.16659
3.305		-1.16528
3.31		-1.16398
3.315		-1.16267
3.32		-1.16137
3.325		-1.16006
3.33		-1.15875
3.335		-1.15744
3.34		-1.15613
3.345		-1.15482
3.35		-1.15351
3.355		-1.1522
3.36		-1.15089
3.365		-1.14957
3.37		-1.14826
3.375		-1.14695
3.38		-1.14563
3.385		-1.14431
3.39		-1.143
3.395		-1.14168
3.4		-1.14036
3.405		-1.13905
3.41		-1.13773
3.415		-1.13641
3.42		-1.13509
3.425		-1.13377
3.43		-1.13245
3.435		-1.13113
3.44		-1.12981
3.445		-1.12849
3.45		-1.12717
3.455		-1.12585
3.46		-1.12453
3.465		-1.1232
3.47		-1.12188
3.475		-1.12056
3.48		-1.11924
3.485		-1.11792
3.49		-1.11659
3.495		-1.11527
3.5		-1.11395
3.505		-1.11263
3.51		-1.11131
3.515		-1.10998
3.52		-1.10866
3.525		-1.10734
3.53		-1.10602
3.535		-1.1047
3.54		-1.10338
3.545		-1.10205
3.55		-1.10073
3.555		-1.09941
3.56		-1.09809
3.565		-1.09677
3.57		-1.09545
3.575		-1.09413
3.58		-1.09281
3.585		-1.09149
3.59		-1.09017
3.595		-1.08886
3.6		-1.08754
3.605		-1.08622
3.61		-1.0849
3.615		-1.08358
3.62		-1.08227
3.625		-1.08095
3.63		-1.07964
3.635		-1.07832
3.64		-1.07701
3.645		-1.07569
3.65		-1.07438
3.655		-1.07306
3.66		-1.07175
3.665		-1.07044
3.67		-1.06913
3.675		-1.06782
3.68		-1.06651
3.685		-1.0652
3.69		-1.06389
3.695		-1.06258
3.7		-1.06127
3.705		-1.05996
3.71		-1.05866
3.715		-1.05735
3.72		-1.05604
3.725		-1.05474
3.73		-1.05344
3.735		-1.05213
3.74		-1.05083
3.745		-1.04953
3.75		-1.04823
3.755		-1.04693
3.76		-1.04563
3.765		-1.04433
3.77		-1.04303
3.775		-1.04173
3.78		-1.04044
3.785		-1.03914
3.79		-1.03785
3.795		-1.03655
3.8		-1.03526
3.805		-1.03397
3.81		-1.03268
3.815		-1.03139
3.82		-1.0301
3.825		-1.02881
3.83		-1.02752
3.835		-1.02624
3.84		-1.02495
3.845		-1.02367
3.85		-1.02238
3.855		-1.0211
3.86		-1.01982
3.865		-1.01854
3.87		-1.01726
3.875		-1.01598
3.88		-1.0147
3.885		-1.01343
3.89		-1.01215
3.895		-1.01088
3.9		-1.0096
3.905		-1.00833
3.91		-1.00706
3.915		-1.00579
3.92		-1.00452
3.925		-1.00325
3.93		-1.00198
3.935		-1.00072
3.94		-0.999452
3.945		-0.998188
3.95		-0.996925
3.955		-0.995664
3.96		-0.994403
3.965		-0.993143
3.97		-0.991885
3.975		-0.990628
3.98		-0.989371
3.985		-0.988116
3.99		-0.986862
3.995		-0.98561
4		-0.984358
4.005		-0.983108
4.01		-0.981858
4.015		-0.98061
4.02		-0.979363
4.025		-0.978118
4.03		-0.967594
4.035		-0.943232
4.04		-0.920078
4.045		-0.89806
4.05		-0.877114
4.055		-0.857177
4.06		-0.838191
4.065		-0.820103
4.07		-0.802861
4.075		-0.786416
4.08		-0.770724
4.085		-0.755742
4.09		-0.741431
4.095		-0.727753
4.1		-0.714672
4.105		-0.702155
4.11		-0.690171
4.115		-0.678692
4.12		-0.667688
4.125		-0.657134
4.13		-0.647006
4.135		-0.63728
4.14		-0.627935
4.145		-0.618951
4.15		-0.610307
4.155		-0.601986
4.16		-0.593971
4.165		-0.586246
4.17		-0.578795
4.175		-0.571604
4.18		-0.564659
4.185		-0.557949
4.19		-0.551461
4.195		-0.545183
4.2		-0.539104
4.205		-0.533216
4.21		-0.527508
4.215		-0.521971
4.22		-0.516597
4.225		-0.511378
4.23		-0.506306
4.235		-0.501374
4.24		-0.496575
4.245		-0.491904
4.25		-0.487353
4.255		-0.482918
4.26		-0.478593
4.265		-0.474372
4.27		-0.470252
4.275		-0.466227
4.28		-0.462294
4.285		-0.458447
4.29		-0.454684
4.295		-0.451
4.3		-0.447393
4.305		-0.443859
