tau [fm]		R_piNS^-1
33.45		0.0386711
33.55		0.0385457
33.65		0.0384209
33.75		0.0382968
33.85		0.0381733
33.95		0.0380504
34.05		0.0379281
34.15		0.0378065
34.25		0.0376855
34.35		0.0375651
34.45		0.0374453
34.55		0.0373261
34.65		0.0372075
34.75		0.0370894
34.85		0.036972
34.95		0.0368552
35.05		0.0367389
35.15		0.0366233
35.25		0.0365082
35.35		0.0363936
35.45		0.0362797
35.55		0.0361663
35.65		0.0360534
35.75		0.0359411
35.85		0.0358294
35.95		0.0357182
36.05		0.0356076
36.15		0.0354975
36.25		0.0353879
36.35		0.0352788
36.45		0.0351703
36.55		0.0350624
36.65		0.0349549
36.75		0.034848
36.85		0.0347415
36.95		0.0346356
37.05		0.0345302
37.15		0.0344253
37.25		0.0343209
37.35		0.034217
37.45		0.0341137
37.55		0.0340107
37.65		0.0339083
37.75		0.0338064
37.85		0.033705
37.95		0.033604
38.05		0.0335035
38.15		0.0334035
38.25		0.033304
38.35		0.0332049
38.45		0.0331064
38.55		0.0330082
38.65		0.0329106
38.75		0.0328134
38.85		0.0327166
38.95		0.0326203
39.05		0.0325244
39.15		0.032429
39.25		0.0323341
39.35		0.0322396
39.45		0.0321455
39.55		0.0320519
39.65		0.0319587
39.75		0.0318659
39.85		0.0317736
39.95		0.0316816
40.05		0.0315902
40.15		0.0314991
40.25		0.0314084
40.35		0.0313182
40.45		0.0312284
40.55		0.031139
40.65		0.03105
40.75		0.0309614
40.85		0.0308732
40.95		0.0307855
41.05		0.0306981
41.15		0.0306111
41.25		0.0305245
41.35		0.0304384
41.45		0.0303526
41.55		0.0302672
41.65		0.0301821
41.75		0.0300975
41.85		0.0300133
41.95		0.0299294
42.05		0.0298459
42.15		0.0297628
42.25		0.0296801
42.35		0.0295977
42.45		0.0295157
42.55		0.0294341
42.65		0.0293528
42.75		0.0292719
42.85		0.0291914
42.95		0.0291112
43.05		0.0290314
43.15		0.0289519
43.25		0.0288728
43.35		0.0287941
43.45		0.0287157
43.55		0.0286376
43.65		0.0285611
43.75		0.0284985
43.85		0.028436
43.95		0.0283739
44.05		0.0283119
44.15		0.0282502
44.25		0.0281887
44.35		0.0281274
44.45		0.0280664
44.55		0.0280056
44.65		0.027945
44.75		0.0278846
44.85		0.0278245
44.95		0.0277646
45.05		0.0277049
45.15		0.0276454
45.25		0.0275862
45.35		0.0275272
45.45		0.0274684
45.55		0.0274098
45.65		0.0273514
45.75		0.0272932
45.85		0.0272353
45.95		0.0271776
46.05		0.0271201
46.15		0.0270628
46.25		0.0270057
46.35		0.0269488
46.45		0.0268921
46.55		0.0268357
46.65		0.0267794
46.75		0.0267234
46.85		0.0266676
46.95		0.0266119
47.05		0.0265565
47.15		0.0265013
47.25		0.0264463
47.35		0.0263915
47.45		0.0263369
47.55		0.0262825
47.65		0.0262283
47.75		0.0261743
47.85		0.0261205
47.95		0.0260668
48.05		0.0260134
48.15		0.0259602
48.25		0.0259072
48.35		0.0258544
48.45		0.0258018
48.55		0.0257493
48.65		0.0256971
48.75		0.025645
48.85		0.0255932
48.95		0.0255415
49.05		0.02549
49.15		0.0254387
49.25		0.0253876
49.35		0.0253367
49.45		0.025286
49.55		0.0252354
49.65		0.025185
49.75		0.0251349
49.85		0.0250849
49.95		0.0250351
50.05		0.0249854
50.15		0.024936
50.25		0.0248867
50.35		0.0248376
50.45		0.0247887
50.55		0.02474
50.65		0.0246914
50.75		0.024643
50.85		0.0245948
50.95		0.0245468
51.05		0.0244989
51.15		0.0244512
51.25		0.0244037
51.35		0.0243564
