tau [fm]		R_PiNS^-1
0.25		-0.00846945
0.35		-0.0066615
0.45		-0.00557948
0.55		-0.00485131
0.65		-0.00432497
0.75		-0.00392616
0.85		-0.00361409
0.95		-0.00336444
1.05		-0.00316182
1.15		-0.00299604
1.25		-0.00286009
1.35		-0.002749
1.45		-0.00265915
1.55		-0.00258787
1.65		-0.00253311
1.75		-0.00249331
1.85		-0.00246722
1.95		-0.00245385
2.05		-0.00245239
2.15		-0.00246218
2.25		-0.00248263
2.35		-0.00251328
2.45		-0.00255369
2.55		-0.00260349
2.65		-0.00266234
2.75		-0.00272994
2.85		-0.002806
2.95		-0.00289027
3.05		-0.00298249
3.15		-0.00308244
3.25		-0.00318988
3.35		-0.0033046
3.45		-0.00342641
3.55		-0.00355509
3.65		-0.00369046
3.75		-0.00383233
3.85		-0.00398052
3.95		-0.00413484
4.05		-0.00429513
4.15		-0.00446121
4.25		-0.00463292
4.35		-0.00481009
4.45		-0.00499256
4.55		-0.00518019
4.65		-0.0053728
4.75		-0.00557026
4.85		-0.00577242
4.95		-0.00597913
5.05		-0.00619025
5.15		-0.00640565
5.25		-0.00662518
5.35		-0.00684872
5.45		-0.00707613
5.55		-0.00730729
5.65		-0.00754207
5.75		-0.00778035
5.85		-0.00802201
5.95		-0.00826693
6.05		-0.008515
6.15		-0.00876611
6.25		-0.00902014
6.35		-0.00927699
6.45		-0.00953655
6.55		-0.00979871
6.65		-0.0100634
6.75		-0.0103305
6.85		-0.0105999
6.95		-0.0108715
7.05		-0.0111452
7.15		-0.011421
7.25		-0.0116987
7.35		-0.0119783
7.45		-0.0122596
7.55		-0.0125426
7.65		-0.0128273
7.75		-0.0131134
7.85		-0.0134011
7.95		-0.0136901
8.05		-0.0139804
8.15		-0.0142719
8.25		-0.0145646
8.35		-0.0148584
8.45		-0.0151532
8.55		-0.015449
8.65		-0.0157457
8.75		-0.0160432
8.85		-0.0163414
8.95		-0.0166404
9.05		-0.0169401
9.15		-0.0172403
9.25		-0.0175411
9.35		-0.0178424
9.45		-0.0181441
9.55		-0.0184462
9.65		-0.0187487
9.75		-0.0190514
9.85		-0.0193544
9.95		-0.0196576
10.05		-0.019961
10.15		-0.0202645
10.25		-0.020568
10.35		-0.0208716
10.45		-0.0211752
10.55		-0.0214788
10.65		-0.0217823
10.75		-0.0220857
10.85		-0.0223889
10.95		-0.022692
11.05		-0.0229949
11.15		-0.0232976
11.25		-0.0236
11.35		-0.0239021
