tau [fm]		R_piNS^-1
0.25		4.13918
0.26		3.98055
0.27		3.83372
0.28		3.69742
0.29		3.57055
0.3		3.45216
0.31		3.34144
0.32		3.23767
0.33		3.1402
0.34		3.04848
0.35		2.96202
0.36		2.88038
0.37		2.80316
0.38		2.73002
0.39		2.66064
0.4		2.59473
0.41		2.53205
0.42		2.47236
0.43		2.41546
0.44		2.36114
0.45		2.30925
0.46		2.25962
0.47		2.2121
0.48		2.16657
0.49		2.1229
0.5		2.08098
0.51		2.0407
0.52		2.00198
0.53		1.96473
0.54		1.92885
0.55		1.89428
0.56		1.86095
0.57		1.82879
0.58		1.79774
0.59		1.76774
0.6		1.73875
0.61		1.7107
0.62		1.68356
0.63		1.65729
0.64		1.63184
0.65		1.60717
0.66		1.58324
0.67		1.56004
0.68		1.53751
0.69		1.51564
0.7		1.4944
0.71		1.47375
0.72		1.45368
0.73		1.43416
0.74		1.41516
0.75		1.39668
0.76		1.37868
0.77		1.36114
0.78		1.34406
0.79		1.32741
0.8		1.31117
0.81		1.29534
0.82		1.27989
0.83		1.26482
0.84		1.2501
0.85		1.23573
0.86		1.22169
0.87		1.20798
0.88		1.19458
0.89		1.18147
0.9		1.16866
0.91		1.15613
0.92		1.14388
0.93		1.13188
0.94		1.12014
0.95		1.10865
0.96		1.0974
0.97		1.08638
0.98		1.07558
0.99		1.06501
1		1.05464
1.01		1.04448
1.02		1.03451
1.03		1.02474
1.04		1.01516
1.05		1.00576
1.06		0.996538
1.07		0.987487
1.08		0.978603
1.09		0.969882
1.1		0.96132
1.11		0.952911
1.12		0.944652
1.13		0.936539
1.14		0.928568
1.15		0.920736
1.16		0.913038
1.17		0.905471
1.18		0.898032
1.19		0.890718
1.2		0.883526
1.21		0.876452
1.22		0.869494
1.23		0.862649
1.24		0.855914
1.25		0.849286
1.26		0.842763
1.27		0.836343
1.28		0.830022
1.29		0.823799
1.3		0.817672
1.31		0.811638
1.32		0.805695
1.33		0.799841
1.34		0.794074
1.35		0.788393
1.36		0.782794
1.37		0.777278
1.38		0.77184
1.39		0.766481
1.4		0.761198
1.41		0.755989
1.42		0.750854
1.43		0.74579
1.44		0.740797
1.45		0.735872
1.46		0.731014
1.47		0.726222
1.48		0.721494
1.49		0.71683
1.5		0.712227
1.51		0.707685
1.52		0.703203
1.53		0.698779
1.54		0.694412
1.55		0.690101
1.56		0.685846
1.57		0.681644
1.58		0.677495
1.59		0.673398
1.6		0.669353
1.61		0.665357
1.62		0.66141
1.63		0.657511
1.64		0.65366
1.65		0.649855
1.66		0.646096
1.67		0.642382
1.68		0.638711
1.69		0.635084
1.7		0.631499
1.71		0.627956
1.72		0.624454
1.73		0.620992
1.74		0.61757
1.75		0.614186
1.76		0.610841
1.77		0.607533
1.78		0.604263
1.79		0.601028
1.8		0.59783
1.81		0.594666
1.82		0.591538
1.83		0.588443
1.84		0.585381
1.85		0.582353
1.86		0.579356
1.87		0.576392
1.88		0.573459
1.89		0.570557
1.9		0.567685
1.91		0.564843
1.92		0.562031
1.93		0.559247
1.94		0.556492
1.95		0.553765
1.96		0.551066
1.97		0.548394
1.98		0.545748
1.99		0.543129
2		0.540537
2.01		0.537969
2.02		0.535427
2.03		0.53291
2.04		0.530418
2.05		0.527949
2.06		0.525504
2.07		0.523083
2.08		0.520685
2.09		0.51831
2.1		0.515957
2.11		0.513626
2.12		0.511317
2.13		0.50903
2.14		0.506764
2.15		0.504518
2.16		0.502294
2.17		0.500089
2.18		0.497905
2.19		0.495741
2.2		0.493596
2.21		0.49147
2.22		0.489364
2.23		0.487276
2.24		0.485207
2.25		0.483156
2.26		0.481122
2.27		0.479107
2.28		0.477109
2.29		0.475129
2.3		0.473165
2.31		0.471219
2.32		0.469289
2.33		0.467376
2.34		0.465478
2.35		0.463597
2.36		0.461732
2.37		0.459882
2.38		0.458048
2.39		0.456228
2.4		0.454424
2.41		0.452635
2.42		0.45086
2.43		0.4491
2.44		0.447354
2.45		0.445623
2.46		0.443905
2.47		0.442201
2.48		0.440511
2.49		0.438834
2.5		0.43717
2.51		0.43552
2.52		0.433882
2.53		0.432258
2.54		0.430646
2.55		0.429047
2.56		0.427459
2.57		0.425885
2.58		0.424322
2.59		0.422771
2.6		0.421232
2.61		0.419705
2.62		0.41819
2.63		0.416685
2.64		0.415192
2.65		0.413711
2.66		0.41224
2.67		0.41078
2.68		0.409331
2.69		0.407892
2.7		0.406465
2.71		0.405047
2.72		0.40364
2.73		0.402243
2.74		0.400857
2.75		0.39948
2.76		0.398113
2.77		0.396756
2.78		0.395408
2.79		0.394071
2.8		0.392742
2.81		0.391423
2.82		0.390113
