tau [fm]		R_PiNS^-1
29.35		-0.0863952
29.45		-0.0870632
29.55		-0.0877385
29.65		-0.0884213
29.75		-0.0891114
29.85		-0.0898091
29.95		-0.0905143
30.05		-0.0912272
30.15		-0.0919478
30.25		-0.0926761
30.35		-0.0934123
30.45		-0.0941563
30.55		-0.0949083
30.65		-0.0956683
30.75		-0.0964363
30.85		-0.0972125
30.95		-0.0979969
31.05		-0.0987895
31.15		-0.0995904
31.25		-0.1004
31.35		-0.101217
31.45		-0.102043
31.55		-0.102878
31.65		-0.103721
31.75		-0.104573
31.85		-0.105434
31.95		-0.106786
32.05		-0.106759
32.15		-0.106729
32.25		-0.106695
32.35		-0.106657
32.45		-0.106616
32.55		-0.106571
32.65		-0.106522
32.75		-0.10647
32.85		-0.106415
32.95		-0.106356
33.05		-0.106294
33.15		-0.106228
33.25		-0.10616
33.35		-0.106088
33.45		-0.106014
33.55		-0.105936
33.65		-0.105856
33.75		-0.105772
33.85		-0.105686
33.95		-0.105598
34.05		-0.105506
34.15		-0.105412
34.25		-0.105315
34.35		-0.105216
34.45		-0.105115
34.55		-0.105011
34.65		-0.104904
34.75		-0.104796
34.85		-0.104685
34.95		-0.104572
35.05		-0.104456
35.15		-0.104339
35.25		-0.10422
35.35		-0.104098
35.45		-0.103975
35.55		-0.103849
35.65		-0.103722
35.75		-0.103593
35.85		-0.103462
35.95		-0.103329
36.05		-0.103194
36.15		-0.103058
36.25		-0.10292
36.35		-0.102781
36.45		-0.102639
36.55		-0.102497
36.65		-0.102353
36.75		-0.102207
36.85		-0.10206
36.95		-0.101911
37.05		-0.101761
37.15		-0.10161
37.25		-0.101458
37.35		-0.101304
37.45		-0.101149
37.55		-0.100992
37.65		-0.100835
37.75		-0.100676
37.85		-0.100516
37.95		-0.100355
38.05		-0.100193
38.15		-0.10003
38.25		-0.0998659
38.35		-0.0997008
38.45		-0.0995347
38.55		-0.0993676
38.65		-0.0991997
38.75		-0.0990308
38.85		-0.0988611
38.95		-0.0986905
39.05		-0.0985191
39.15		-0.0983468
39.25		-0.0981738
39.35		-0.0980001
39.45		-0.0978256
39.55		-0.0976504
39.65		-0.0974745
39.75		-0.0972979
39.85		-0.0971206
39.95		-0.0969427
40.05		-0.0967643
40.15		-0.0965852
40.25		-0.0964055
40.35		-0.0962253
40.45		-0.0960445
40.55		-0.0958632
40.65		-0.0956815
40.75		-0.0954992
40.85		-0.0953165
40.95		-0.0951333
41.05		-0.0949496
41.15		-0.0947656
41.25		-0.0945811
41.35		-0.0943963
41.45		-0.0942111
41.55		-0.0940255
41.65		-0.0938396
41.75		-0.0936533
41.85		-0.0934668
41.95		-0.0932799
42.05		-0.0930927
42.15		-0.0929053
42.25		-0.0927176
42.35		-0.0925297
42.45		-0.0923415
42.55		-0.0921531
42.65		-0.0919645
42.75		-0.0917757
42.85		-0.0915867
42.95		-0.0913976
43.05		-0.0912082
43.15		-0.0910188
43.25		-0.0908291
43.35		-0.0906394
43.45		-0.0904495
43.55		-0.0902595
43.65		-0.0900695
43.75		-0.0898793
43.85		-0.089689
43.95		-0.0894987
44.05		-0.0893083
44.15		-0.0891179
44.25		-0.0889274
44.35		-0.0887369
44.45		-0.0885464
44.55		-0.0883558
44.65		-0.0881653
44.75		-0.0879747
44.85		-0.0877841
44.95		-0.0875936
45.05		-0.0874031
45.15		-0.0872126
45.25		-0.0870222
45.35		-0.0868318
45.45		-0.0866414
45.55		-0.0864511
45.65		-0.0862609
45.75		-0.0860708
45.85		-0.0858807
45.95		-0.0856907
46.05		-0.0855008
46.15		-0.085311
46.25		-0.0851214
46.35		-0.0810379
46.45		-0.0771187
46.55		-0.073581
46.65		-0.0703812
46.75		-0.067481
