tau [fm]		R_piNS^-1
33.55		0.0386139
33.65		0.0384899
33.75		0.0383665
33.85		0.0382438
33.95		0.0381217
34.05		0.0380001
34.15		0.0378793
34.25		0.037759
34.35		0.0376393
34.45		0.0375202
34.55		0.0374017
34.65		0.0372839
34.75		0.0371666
34.85		0.0370498
34.95		0.0369337
35.05		0.0368181
35.15		0.0367032
35.25		0.0365887
35.35		0.0364749
35.45		0.0363616
35.55		0.0362488
35.65		0.0361366
35.75		0.036025
35.85		0.0359139
35.95		0.0358033
36.05		0.0356933
36.15		0.0355838
36.25		0.0354749
36.35		0.0353664
36.45		0.0352585
36.55		0.0351511
36.65		0.0350443
36.75		0.0349379
36.85		0.034832
36.95		0.0347267
37.05		0.0346218
37.15		0.0345175
37.25		0.0344136
37.35		0.0343103
37.45		0.0342074
37.55		0.034105
37.65		0.0340032
37.75		0.0339017
37.85		0.0338008
37.95		0.0337003
38.05		0.0336003
38.15		0.0335008
38.25		0.0334018
38.35		0.0333032
38.45		0.033205
38.55		0.0331074
38.65		0.0330102
38.75		0.0329134
38.85		0.0328171
38.95		0.0327212
39.05		0.0326258
39.15		0.0325308
39.25		0.0324362
39.35		0.0323421
39.45		0.0322484
39.55		0.0321552
39.65		0.0320624
39.75		0.03197
39.85		0.031878
39.95		0.0317865
40.05		0.0316953
40.15		0.0316046
40.25		0.0315143
40.35		0.0314244
40.45		0.0313349
40.55		0.0312459
40.65		0.0311572
40.75		0.0310689
40.85		0.030981
40.95		0.0308936
41.05		0.0308065
41.15		0.0307198
41.25		0.0306335
41.35		0.0305476
41.45		0.0304621
41.55		0.0303769
41.65		0.0302922
41.75		0.0302078
41.85		0.0301238
41.95		0.0300402
42.05		0.0299569
42.15		0.0298741
42.25		0.0297915
42.35		0.0297094
42.45		0.0296276
42.55		0.0295462
42.65		0.0294651
42.75		0.0293844
42.85		0.0293041
42.95		0.0292241
43.05		0.0291445
43.15		0.0290652
43.25		0.0289863
43.35		0.0289077
43.45		0.0288294
43.55		0.0287515
43.65		0.028674
43.75		0.0285968
43.85		0.0285199
43.95		0.0284433
44.05		0.0283671
44.15		0.0282913
44.25		0.0282157
44.35		0.0281405
44.45		0.0280656
44.55		0.027991
44.65		0.0279222
44.75		0.0278623
44.85		0.0278026
44.95		0.0277432
45.05		0.0276839
45.15		0.0276249
45.25		0.0275661
45.35		0.0275075
45.45		0.0274491
45.55		0.0273909
45.65		0.027333
45.75		0.0272752
45.85		0.0272177
45.95		0.0271603
46.05		0.0271032
46.15		0.0270463
46.25		0.0269896
46.35		0.0269331
46.45		0.0268768
46.55		0.0268207
46.65		0.0267648
46.75		0.0267091
46.85		0.0266536
46.95		0.0265983
47.05		0.0265433
47.15		0.0264884
47.25		0.0264337
47.35		0.0263792
47.45		0.0263249
47.55		0.0262708
47.65		0.0262169
47.75		0.0261632
47.85		0.0261097
47.95		0.0260564
48.05		0.0260033
48.15		0.0259504
48.25		0.0258976
48.35		0.0258451
48.45		0.0257927
48.55		0.0257406
48.65		0.0256886
48.75		0.0256368
48.85		0.0255852
48.95		0.0255338
49.05		0.0254825
49.15		0.0254315
49.25		0.0253806
49.35		0.0253299
49.45		0.0252794
49.55		0.0252291
49.65		0.025179
49.75		0.025129
49.85		0.0250792
49.95		0.0250296
50.05		0.0249802
50.15		0.024931
50.25		0.0248819
50.35		0.024833
50.45		0.0247843
50.55		0.0247357
50.65		0.0246874
50.75		0.0246392
50.85		0.0245911
50.95		0.0245433
51.05		0.0244956
51.15		0.0244481
51.25		0.0244007
51.35		0.0243536
51.45		0.0243065
51.55		0.0242597
51.65		0.024213
51.75		0.0241665
51.85		0.0241202
51.95		0.024074
52.05		0.024028
52.15		0.0239821
52.25		0.0239364
52.35		0.0238909
52.45		0.0238455
52.55		0.0238003
52.65		0.0237552
52.75		0.0237103
