tau [fm]		R_piNS^-1
3.79		0.296012
3.8		0.295286
3.81		0.294564
3.82		0.293846
3.83		0.293131
3.84		0.29242
3.85		0.291713
3.86		0.291009
3.87		0.290309
3.88		0.289612
3.89		0.288919
3.9		0.28823
3.91		0.287544
3.92		0.286861
3.93		0.286182
3.94		0.285506
3.95		0.284834
3.96		0.284165
3.97		0.283499
3.98		0.282836
3.99		0.282177
4		0.281521
4.01		0.280869
4.02		0.280219
4.03		0.279573
4.04		0.27893
4.05		0.27829
4.06		0.277653
4.07		0.277019
4.08		0.276389
4.09		0.275761
4.1		0.275136
4.11		0.274515
4.12		0.273896
4.13		0.27328
4.14		0.272668
4.15		0.272058
4.16		0.271451
4.17		0.270847
4.18		0.270245
4.19		0.269647
4.2		0.269051
4.21		0.268459
4.22		0.267869
4.23		0.267281
4.24		0.266697
4.25		0.266115
4.26		0.265536
4.27		0.264959
4.28		0.264385
4.29		0.263814
4.3		0.263246
4.31		0.26268
4.32		0.262116
4.33		0.261555
4.34		0.260997
4.35		0.260441
4.36		0.259888
4.37		0.259338
4.38		0.258789
4.39		0.258243
4.4		0.2577
4.41		0.257159
4.42		0.256621
4.43		0.256085
4.44		0.255551
4.45		0.25502
4.46		0.25449
4.47		0.253964
4.48		0.253439
4.49		0.252917
4.5		0.252398
4.51		0.25188
4.52		0.251365
4.53		0.250852
4.54		0.250341
4.55		0.249832
4.56		0.249326
4.57		0.248822
4.58		0.24832
4.59		0.24782
4.6		0.247322
4.61		0.246827
4.62		0.246333
4.63		0.245842
4.64		0.245353
4.65		0.244865
4.66		0.24438
4.67		0.243897
4.68		0.243416
4.69		0.242937
4.7		0.24246
4.71		0.241985
4.72		0.241512
4.73		0.241041
4.74		0.240571
4.75		0.240104
4.76		0.239639
4.77		0.239176
4.78		0.238714
4.79		0.238255
4.8		0.237797
4.81		0.237341
4.82		0.236887
4.83		0.236435
4.84		0.235985
4.85		0.235536
4.86		0.23509
4.87		0.234645
4.88		0.234202
4.89		0.233761
4.9		0.233321
4.91		0.232884
4.92		0.232448
4.93		0.232014
4.94		0.231581
4.95		0.23115
4.96		0.230721
4.97		0.230294
4.98		0.229868
4.99		0.229444
5		0.229022
5.01		0.228602
5.02		0.228183
5.03		0.227765
5.04		0.227349
5.05		0.226935
5.06		0.226523
5.07		0.226112
5.08		0.225703
5.09		0.225295
5.1		0.224889
5.11		0.224484
5.12		0.224081
5.13		0.22368
5.14		0.22328
5.15		0.222881
5.16		0.222484
5.17		0.222089
5.18		0.221695
5.19		0.221303
5.2		0.220912
5.21		0.220522
5.22		0.220134
5.23		0.219748
5.24		0.219363
5.25		0.218979
5.26		0.218597
5.27		0.218216
5.28		0.217837
5.29		0.217459
5.3		0.217082
5.31		0.216707
5.32		0.216333
5.33		0.215961
5.34		0.21559
5.35		0.21522
5.36		0.214852
5.37		0.214485
5.38		0.214119
5.39		0.213755
5.4		0.213392
5.41		0.21303
5.42		0.21267
5.43		0.212311
5.44		0.211953
5.45		0.211597
5.46		0.211242
5.47		0.210888
5.48		0.210535
5.49		0.210184
5.5		0.209834
5.51		0.209485
5.52		0.209137
5.53		0.208791
5.54		0.208446
5.55		0.208102
5.56		0.207759
5.57		0.207418
5.58		0.207077
5.59		0.206738
5.6		0.2064
5.61		0.206064
5.62		0.205728
5.63		0.205394
5.64		0.20506
5.65		0.204728
5.66		0.204397
5.67		0.204068
5.68		0.203739
5.69		0.203411
5.7		0.203085
5.71		0.20276
5.72		0.202436
5.73		0.202113
5.74		0.201791
5.75		0.20147
5.76		0.20115
5.77		0.200831
5.78		0.200514
5.79		0.200197
5.8		0.199882
5.81		0.199568
5.82		0.199254
5.83		0.198942
5.84		0.198631
5.85		0.198321
5.86		0.198012
5.87		0.197703
5.88		0.197396
5.89		0.19709
5.9		0.196785
5.91		0.196481
5.92		0.196178
5.93		0.195876
5.94		0.195575
5.95		0.195275
5.96		0.194976
5.97		0.194678
5.98		0.194381
5.99		0.194085
6		0.19379
6.01		0.193496
6.02		0.193202
6.03		0.19291
6.04		0.192619
6.05		0.192328
6.06		0.192039
6.07		0.191751
6.08		0.191463
6.09		0.191176
6.1		0.190891
6.11		0.190606
6.12		0.190322
6.13		0.190039
6.14		0.189757
6.15		0.189476
6.16		0.189195
6.17		0.188916
6.18		0.188637
6.19		0.18836
6.2		0.188083
6.21		0.187807
6.22		0.187532
6.23		0.187258
6.24		0.186984
6.25		0.186712
6.26		0.18644
6.27		0.18617
6.28		0.1859
6.29		0.185631
6.3		0.185362
6.31		0.185095
6.32		0.184828
6.33		0.184563
6.34		0.184298
6.35		0.184034
6.36		0.18377
6.37		0.183508
6.38		0.183246
6.39		0.182985
6.4		0.182725
6.41		0.182466
6.42		0.182207
6.43		0.181949
6.44		0.181692
6.45		0.181436
6.46		0.181181
6.47		0.180926
6.48		0.180672
6.49		0.180419
6.5		0.180167
6.51		0.179915
6.52		0.179665
6.53		0.179414
6.54		0.179165
6.55		0.178917
6.56		0.178669
6.57		0.178422
6.58		0.178175
6.59		0.17793
6.6		0.177685
6.61		0.17744
6.62		0.177197
6.63		0.176954
6.64		0.176712
6.65		0.176471
6.66		0.17623
6.67		0.17599
6.68		0.175751
6.69		0.175512
6.7		0.175275
6.71		0.175038
6.72		0.174801
6.73		0.174565
6.74		0.17433
6.75		0.174096
6.76		0.173862
6.77		0.173629
6.78		0.173397
6.79		0.173165
6.8		0.172934
6.81		0.172703
6.82		0.172474
6.83		0.172245
6.84		0.172016
6.85		0.171788
6.86		0.171561
6.87		0.171335
6.88		0.171109
6.89		0.170884
6.9		0.170659
6.91		0.170435
6.92		0.170212
6.93		0.169989
6.94		0.169767
6.95		0.169546
6.96		0.169325
6.97		0.169105
6.98		0.168885
6.99		0.168666
7		0.168448
7.01		0.16823
7.02		0.168013
7.03		0.167796
7.04		0.16758
7.05		0.167365
7.06		0.16715
7.07		0.166936
7.08		0.166723
7.09		0.16651
7.1		0.166297
7.11		0.166085
7.12		0.165874
7.13		0.165663
7.14		0.165453
7.15		0.165244
7.16		0.165035
7.17		0.164826
7.18		0.164619
7.19		0.164411
7.2		0.164205
7.21		0.163998
7.22		0.163793
7.23		0.163588
7.24		0.163383
7.25		0.163179
7.26		0.162976
7.27		0.162773
7.28		0.162571
7.29		0.162369
7.3		0.162168
7.31		0.161967
7.32		0.161767
7.33		0.161567
7.34		0.161368
7.35		0.16117
7.36		0.160971
7.37		0.160774
7.38		0.160577
7.39		0.16038
7.4		0.160184
7.41		0.159989
7.42		0.159794
7.43		0.1596
7.44		0.159406
7.45		0.159212
7.46		0.159019
7.47		0.158827
7.48		0.158635
7.49		0.158443
7.5		0.158252
7.51		0.158062
7.52		0.157872
7.53		0.157683
