tau [fm]		R_PiNS^-1
29.75		-0.122618
29.85		-0.122462
29.95		-0.122302
30.05		-0.122139
30.15		-0.121973
30.25		-0.121804
30.35		-0.121632
30.45		-0.121456
30.55		-0.121278
30.65		-0.121097
30.75		-0.120913
30.85		-0.120726
30.95		-0.120536
31.05		-0.120344
31.15		-0.12015
31.25		-0.119953
31.35		-0.119753
31.45		-0.119552
31.55		-0.119348
31.65		-0.119141
31.75		-0.118933
31.85		-0.118723
31.95		-0.11851
32.05		-0.118296
32.15		-0.11808
32.25		-0.117862
32.35		-0.117642
32.45		-0.11742
32.55		-0.117197
32.65		-0.116972
32.75		-0.116745
32.85		-0.116517
32.95		-0.116287
33.05		-0.116056
33.15		-0.115824
33.25		-0.11559
33.35		-0.115355
33.45		-0.115118
33.55		-0.11488
33.65		-0.114641
33.75		-0.114401
33.85		-0.11416
33.95		-0.113918
34.05		-0.113675
34.15		-0.113431
34.25		-0.113185
34.35		-0.112939
34.45		-0.112692
34.55		-0.112444
34.65		-0.112196
34.75		-0.111946
34.85		-0.111696
34.95		-0.111445
35.05		-0.111193
35.15		-0.110941
35.25		-0.110688
35.35		-0.110434
35.45		-0.11018
35.55		-0.109925
35.65		-0.10967
35.75		-0.109414
35.85		-0.109158
35.95		-0.108901
36.05		-0.108644
36.15		-0.108387
36.25		-0.108129
36.35		-0.107871
36.45		-0.107612
36.55		-0.107353
36.65		-0.107094
36.75		-0.106835
36.85		-0.106575
36.95		-0.106315
37.05		-0.106055
37.15		-0.105795
37.25		-0.105535
37.35		-0.105274
37.45		-0.105014
37.55		-0.104753
37.65		-0.104492
37.75		-0.104231
37.85		-0.10397
37.95		-0.103709
38.05		-0.103448
38.15		-0.103187
38.25		-0.102926
38.35		-0.102665
38.45		-0.102404
38.55		-0.102143
38.65		-0.101882
38.75		-0.101621
38.85		-0.10136
38.95		-0.1011
39.05		-0.100839
39.15		-0.100579
39.25		-0.100319
39.35		-0.100059
39.45		-0.0997989
39.55		-0.0981295
39.65		-0.0924444
39.75		-0.0874054
39.85		-0.0829271
39.95		-0.0789358
40.05		-0.075368
40.15		-0.0721689
40.25		-0.0692913
40.35		-0.0666941
40.45		-0.0643422
40.55		-0.0622047
40.65		-0.0602552
40.75		-0.0584707
40.85		-0.0568313
40.95		-0.0553195
41.05		-0.0539203
41.15		-0.0526206
41.25		-0.0514091
41.35		-0.0502757
41.45		-0.0492119
41.55		-0.04821
41.65		-0.0472636
41.75		-0.0463668
41.85		-0.0455145
41.95		-0.0447025
42.05		-0.0439267
42.15		-0.0431839
42.25		-0.0424711
42.35		-0.0417855
42.45		-0.041125
42.55		-0.0404874
42.65		-0.039871
42.75		-0.0392741
42.85		-0.0386954
42.95		-0.0381337
43.05		-0.0375876
43.15		-0.0370564
43.25		-0.0365391
43.35		-0.0360348
43.45		-0.0355429
43.55		-0.0350628
43.65		-0.0345937
43.75		-0.0341353
43.85		-0.033687
43.95		-0.0332484
44.05		-0.032819
44.15		-0.0323986
44.25		-0.0319868
44.35		-0.0315832
44.45		-0.0311876
44.55		-0.0307997
44.65		-0.0304193
44.75		-0.030046
44.85		-0.0296798
44.95		-0.0293204
45.05		-0.0289677
45.15		-0.0286213
45.25		-0.0282812
45.35		-0.0279472
45.45		-0.0276192
45.55		-0.0272969
45.65		-0.0269803
45.75		-0.0266692
45.85		-0.0263635
45.95		-0.0260631
46.05		-0.0257678
46.15		-0.0254776
46.25		-0.0251922
46.35		-0.0249117
46.45		-0.0246359
46.55		-0.0243647
46.65		-0.024098
46.75		-0.0238358
46.85		-0.0235778
46.95		-0.0233242
47.05		-0.0230746
47.15		-0.0228291
47.25		-0.0225877
47.35		-0.0223501
47.45		-0.0221164
47.55		-0.0218864
47.65		-0.0216601
47.75		-0.0214374
47.85		-0.0212183
47.95		-0.0210026
48.05		-0.0207904
48.15		-0.0205815
48.25		-0.0203759
48.35		-0.0201735
48.45		-0.0199742
48.55		-0.0197781
48.65		-0.019585
48.75		-0.0193949
48.85		-0.0192077
48.95		-0.0190234
49.05		-0.0188419
49.15		-0.0186632
49.25		-0.0184872
49.35		-0.0183139
49.45		-0.0181432
49.55		-0.017975
49.65		-0.0178095
49.75		-0.0176463
49.85		-0.0174857
49.95		-0.0173274
50.05		-0.0171715
50.15		-0.0170179
50.25		-0.0168665
50.35		-0.0167174
50.45		-0.0165705
50.55		-0.0164257
50.65		-0.0162831
50.75		-0.0161425
50.85		-0.0160039
50.95		-0.0158674
51.05		-0.0157329
51.15		-0.0156002
51.25		-0.0154695
51.35		-0.0153406
51.45		-0.0152136
51.55		-0.0150884
51.65		-0.014965
51.75		-0.0148433
51.85		-0.0147233
51.95		-0.014605
52.05		-0.0144884
52.15		-0.0143734
52.25		-0.01426
52.35		-0.0141482
52.45		-0.0140379
52.55		-0.0139291
52.65		-0.0138219
52.75		-0.0137161
52.85		-0.0136118
52.95		-0.0135088
53.05		-0.0134073
53.15		-0.0133072
53.25		-0.0132084
53.35		-0.013111
53.45		-0.0130148
53.55		-0.01292
53.65		-0.0128264
53.75		-0.0127341
53.85		-0.012643
53.95		-0.012553
