tau [fm]		R_piNS^-1
33.45		0.0380723
33.55		0.0379429
33.65		0.0378141
33.75		0.0376861
33.85		0.0375587
33.95		0.0374321
34.05		0.0373061
34.15		0.0371808
34.25		0.0370562
34.35		0.0369322
34.45		0.0368089
34.55		0.0366862
34.65		0.0365642
34.75		0.0364429
34.85		0.0363222
34.95		0.0362021
35.05		0.0360827
35.15		0.0359639
35.25		0.0358457
35.35		0.0357281
35.45		0.0356112
35.55		0.0354949
35.65		0.0353791
35.75		0.035264
35.85		0.0351495
35.95		0.0350356
36.05		0.0349223
36.15		0.0348096
36.25		0.0346974
36.35		0.0345859
36.45		0.0344749
36.55		0.0343645
36.65		0.0342547
36.75		0.0341454
36.85		0.0340367
36.95		0.0339286
37.05		0.033821
37.15		0.0337139
37.25		0.0336075
37.35		0.0335015
37.45		0.0333961
37.55		0.0332913
37.65		0.033187
37.75		0.0330832
37.85		0.0329799
37.95		0.0328772
38.05		0.032775
38.15		0.0326796
38.25		0.0325976
38.35		0.0325159
38.45		0.0324345
38.55		0.0323536
38.65		0.0322729
38.75		0.0321926
38.85		0.0321127
38.95		0.0320331
39.05		0.0319538
39.15		0.0318749
39.25		0.0317963
39.35		0.031718
39.45		0.0316401
39.55		0.0315625
39.65		0.0314852
39.75		0.0314083
39.85		0.0313316
39.95		0.0312554
40.05		0.0311794
40.15		0.0311038
40.25		0.0310284
40.35		0.0309534
40.45		0.0308788
40.55		0.0308044
40.65		0.0307303
40.75		0.0306566
40.85		0.0305832
40.95		0.0305101
41.05		0.0304373
41.15		0.0303648
41.25		0.0302926
41.35		0.0302207
41.45		0.0301492
41.55		0.0300779
41.65		0.0300069
41.75		0.0299362
41.85		0.0298659
41.95		0.0297958
42.05		0.029726
42.15		0.0296565
42.25		0.0295873
42.35		0.0295184
42.45		0.0294498
42.55		0.0293815
42.65		0.0293134
42.75		0.0292457
42.85		0.0291782
42.95		0.029111
43.05		0.0290441
43.15		0.0289775
43.25		0.0289111
43.35		0.028845
43.45		0.0287792
43.55		0.0287137
43.65		0.0286484
43.75		0.0285835
43.85		0.0285188
43.95		0.0284543
44.05		0.0283901
44.15		0.0283262
44.25		0.0282626
44.35		0.0281992
44.45		0.0281361
44.55		0.0280733
44.65		0.0280107
44.75		0.0279483
44.85		0.0278863
44.95		0.0278244
45.05		0.0277629
45.15		0.0277016
45.25		0.0276405
45.35		0.0275797
45.45		0.0275192
45.55		0.0274589
45.65		0.0273988
45.75		0.027339
45.85		0.0272794
45.95		0.0272201
46.05		0.027161
46.15		0.0271022
46.25		0.0270436
46.35		0.0269852
46.45		0.0269271
46.55		0.0268692
46.65		0.0268116
46.75		0.0267542
46.85		0.026697
46.95		0.02664
47.05		0.0265833
47.15		0.0265268
47.25		0.0264706
47.35		0.0264145
47.45		0.0263587
47.55		0.0263032
47.65		0.0262478
47.75		0.0261927
47.85		0.0261378
47.95		0.0260831
48.05		0.0260286
48.15		0.0259744
48.25		0.0259203
48.35		0.0258665
48.45		0.0258129
48.55		0.0257595
48.65		0.0257063
48.75		0.0256534
48.85		0.0256006
48.95		0.0255481
49.05		0.0254958
49.15		0.0254436
49.25		0.0253917
49.35		0.02534
49.45		0.0252885
49.55		0.0252372
49.65		0.0251861
49.75		0.0251352
49.85		0.0250845
49.95		0.025034
50.05		0.0249837
50.15		0.0249336
50.25		0.0248837
50.35		0.024834
50.45		0.0247845
50.55		0.0247351
50.65		0.024686
50.75		0.0246371
50.85		0.0245883
50.95		0.0245398
51.05		0.0244914
51.15		0.0244432
51.25		0.0243952
51.35		0.0243474
51.45		0.0242998
51.55		0.0242523
51.65		0.0242051
51.75		0.024158
51.85		0.0241111
51.95		0.0240644
52.05		0.0240178
52.15		0.0239715
52.25		0.0239253
52.35		0.0238793
52.45		0.0238335
52.55		0.0237878
52.65		0.0237423
52.75		0.023697
52.85		0.0236519
52.95		0.0236069
53.05		0.0235621
53.15		0.0235175
53.25		0.0234731
53.35		0.0234288
53.45		0.0233847
53.55		0.0233407
53.65		0.0232969
53.75		0.0232533
53.85		0.0232098
53.95		0.0231665
54.05		0.0231234
54.15		0.0230804
54.25		0.0230376
54.35		0.0229949
54.45		0.0229524
54.55		0.0229101
54.65		0.0228679
54.75		0.0228259
54.85		0.022784
54.95		0.0227423
55.05		0.0227007
55.15		0.0226593
55.25		0.0226181
55.35		0.0225769
55.45		0.022536
55.55		0.0224952
55.65		0.0224545
55.75		0.022414
55.85		0.0223737
55.95		0.0223334
56.05		0.0222934
56.15		0.0222535
56.25		0.0222137
56.35		0.022174
56.45		0.0221345
56.55		0.0220952
56.65		0.022056
56.75		0.0220169
56.85		0.021978
56.95		0.0219392
57.05		0.0219006
57.15		0.0218621
57.25		0.0218237
57.35		0.0217855
57.45		0.0217474
57.55		0.0217094
57.65		0.0216716
57.75		0.0216339
57.85		0.0215963
57.95		0.0215589
58.05		0.0215216
58.15		0.0214844
58.25		0.0214474
58.35		0.0214105
58.45		0.0213737
58.55		0.0213371
58.65		0.0213006
58.75		0.0212642
58.85		0.0212279
58.95		0.0211918
59.05		0.0211558
59.15		0.0211199
59.25		0.0210841
59.35		0.0210485
59.45		0.021013
59.55		0.0209776
59.65		0.0209423
59.75		0.0209072
59.85		0.0208721
59.95		0.0208372
60.05		0.0208025
60.15		0.0207678
60.25		0.0207332
60.35		0.0206988
60.45		0.0206645
60.55		0.0206303
60.65		0.0205962
60.75		0.0205623
60.85		0.0205284
60.95		0.0204947
61.05		0.020461
61.15		0.0204275
61.25		0.0203941
61.35		0.0203609
61.45		0.0203277
61.55		0.0202946
61.65		0.0202617
61.75		0.0202288
61.85		0.0201961
61.95		0.0201635
62.05		0.020131
62.15		0.0200986
62.25		0.0200663
62.35		0.0200341
62.45		0.020002
62.55		0.01997
62.65		0.0199382
62.75		0.0199064
62.85		0.0198747
62.95		0.0198432
63.05		0.0198117
63.15		0.0197804
63.25		0.0197491
63.35		0.019718
63.45		0.0196869
63.55		0.019656
63.65		0.0196251
63.75		0.0195944
63.85		0.0195637
63.95		0.0195332
64.05		0.0195027
64.15		0.0194724
64.25		0.0194421
64.35		0.019412
64.45		0.0193819
64.55		0.019352
64.65		0.0193221
64.75		0.0192923
64.85		0.0192626
64.95		0.0192331
65.05		0.0192036
65.15		0.0191742
65.25		0.0191449
65.35		0.0191157
65.45		0.0190865
65.55		0.0190575
65.65		0.0190286
65.75		0.0189997
65.85		0.018971
65.95		0.0189423
66.05		0.0189138
66.15		0.0188853
66.25		0.0188569
66.35		0.0188286
66.45		0.0188004
66.55		0.0187722
66.65		0.0187442
66.75		0.0187162
66.85		0.0186884
66.95		0.0186606
67.05		0.0186329
67.15		0.0186053
67.25		0.0185777
67.35		0.0185503
67.45		0.0185229
67.55		0.0184957
67.65		0.0184685
67.75		0.0184414
67.85		0.0184143
67.95		0.0183874
68.05		0.0183605
68.15		0.0183338
68.25		0.0183071
68.35		0.0182804
68.45		0.0182539
68.55		0.0182274
68.65		0.0182011
68.75		0.0181748
68.85		0.0181485
68.95		0.0181224
69.05		0.0180963
69.15		0.0180703
69.25		0.0180444
69.35		0.0180186
69.45		0.0179929
69.55		0.0179672
69.65		0.0179416
69.75		0.017916
69.85		0.0178906
69.95		0.0178652
70.05		0.0178399
70.15		0.0178147
70.25		0.0177895
70.35		0.0177645
70.45		0.0177395
70.55		0.0177145
70.65		0.0176897
70.75		0.0176649
70.85		0.0176402
70.95		0.0176155
71.05		0.0175909
71.15		0.0175664
71.25		0.017542
71.35		0.0175177
71.45		0.0174934
71.55		0.0174692
71.65		0.017445
71.75		0.0174209
71.85		0.0173969
71.95		0.017373
72.05		0.0173491
72.15		0.0173253
72.25		0.0173016
72.35		0.0172779
72.45		0.0172543
72.55		0.0172308
72.65		0.0172073
72.75		0.0171839
72.85		0.0171606
72.95		0.0171373
73.05		0.0171141
73.15		0.0170909
73.25		0.0170679
73.35		0.0170449
73.45		0.0170219
73.55		0.016999
73.65		0.0169762
73.75		0.0169535
73.85		0.0169308
73.95		0.0169082
74.05		0.0168856
74.15		0.0168631
74.25		0.0168407
74.35		0.0168183
74.45		0.016796
74.55		0.0167737
74.65		0.0167515
74.75		0.0167294
74.85		0.0167073
74.95		0.0166853
75.05		0.0166634
75.15		0.0166415
75.25		0.0166197
75.35		0.0165979
75.45		0.0165762
75.55		0.0165545
75.65		0.016533
75.75		0.0165114
75.85		0.0164899
75.95		0.0164685
76.05		0.0164472
76.15		0.0164259
76.25		0.0164046
76.35		0.0163834
76.45		0.0163623
76.55		0.0163412
76.65		0.0163202
76.75		0.0162993
76.85		0.0162784
76.95		0.0162575
77.05		0.0162367
77.15		0.016216
77.25		0.0161953
77.35		0.0161747
77.45		0.0161541
77.55		0.0161336
77.65		0.0161131
77.75		0.0160927
77.85		0.0160724
77.95		0.0160521
78.05		0.0160318
78.15		0.0160116
78.25		0.0159915
78.35		0.0159714
78.45		0.0159514
78.55		0.0159314
78.65		0.0159114
78.75		0.0158916
78.85		0.0158717
78.95		0.0158519
79.05		0.0158322
79.15		0.0158125
79.25		0.0157929
79.35		0.0157733
79.45		0.0157538
79.55		0.0157344
79.65		0.0157149
79.75		0.0156956
79.85		0.0156762
79.95		0.015657
80.05		0.0156377
80.15		0.0156186
80.25		0.0155994
80.35		0.0155804
80.45		0.0155613
80.55		0.0155423
80.65		0.0155234
80.75		0.0155045
80.85		0.0154857
80.95		0.0154669
81.05		0.0154482
81.15		0.0154295
81.25		0.0154108
81.35		0.0153922
81.45		0.0153737
81.55		0.0153552
81.65		0.0153367
81.75		0.0153183
81.85		0.0152999
81.95		0.0152816
82.05		0.0152633
82.15		0.0152451
82.25		0.0152269
82.35		0.0152087
82.45		0.0151907
82.55		0.0151726
82.65		0.0151546
82.75		0.0151366
82.85		0.0151187
82.95		0.0151008
83.05		0.015083
83.15		0.0150652
83.25		0.0150475
83.35		0.0150298
83.45		0.0150121
83.55		0.0149945
83.65		0.0149769
83.75		0.0149594
83.85		0.0149419
83.95		0.0149245
84.05		0.0149071
84.15		0.0148897
84.25		0.0148724
84.35		0.0148551
84.45		0.0148379
84.55		0.0148207
84.65		0.0148036
84.75		0.0147865
84.85		0.0147694
84.95		0.0147524
85.05		0.0147354
85.15		0.0147184
85.25		0.0147015
85.35		0.0146847
85.45		0.0146678
85.55		0.0146511
85.65		0.0146343
85.75		0.0146176
85.85		0.0146009
85.95		0.0145843
86.05		0.0145677
86.15		0.0145512
86.25		0.0145347
86.35		0.0145182
86.45		0.0145018
86.55		0.0144854
86.65		0.014469
86.75		0.0144527
86.85		0.0144365
86.95		0.0144202
87.05		0.014404
87.15		0.0143879
87.25		0.0143717
87.35		0.0143557
87.45		0.0143396
87.55		0.0143236
87.65		0.0143076
87.75		0.0142917
87.85		0.0142758
87.95		0.0142599
88.05		0.0142441
88.15		0.0142283
88.25		0.0142125
88.35		0.0141968
88.45		0.0141811
88.55		0.0141655
88.65		0.0141499
88.75		0.0141343
88.85		0.0141188
88.95		0.0141033
89.05		0.0140878
89.15		0.0140723
89.25		0.014057
89.35		0.0140416
89.45		0.0140263
89.55		0.014011
89.65		0.0139957
89.75		0.0139805
89.85		0.0139653
89.95		0.0139502
90.05		0.0139351
90.15		0.01392
90.25		0.0139049
90.35		0.0138899
90.45		0.0138749
90.55		0.01386
90.65		0.013845
90.75		0.0138302
90.85		0.0138153
90.95		0.0138005
91.05		0.0137857
91.15		0.013771
91.25		0.0137562
91.35		0.0137415
91.45		0.0137269
91.55		0.0137123
91.65		0.0136977
91.75		0.0136831
91.85		0.0136686
91.95		0.0136541
92.05		0.0136396
92.15		0.0136252
92.25		0.0136108
92.35		0.0135965
92.45		0.0135821
92.55		0.0135678
92.65		0.0135535
92.75		0.0135393
92.85		0.0135251
92.95		0.0135109
93.05		0.0134968
93.15		0.0134827
93.25		0.0134686
93.35		0.0134545
93.45		0.0134405
93.55		0.0134265
93.65		0.0134125
93.75		0.0133986
93.85		0.0133847
93.95		0.0133708
94.05		0.013357
94.15		0.0133432
94.25		0.0133294
94.35		0.0133156
94.45		0.0133019
94.55		0.0132882
94.65		0.0132745
94.75		0.0132609
94.85		0.0132473
94.95		0.0132337
95.05		0.0132202
95.15		0.0132066
95.25		0.0131931
95.35		0.0131797
95.45		0.0131662
95.55		0.0131528
95.65		0.0131394
95.75		0.0131261
95.85		0.0131128
95.95		0.0130995
96.05		0.0130862
96.15		0.013073
96.25		0.0130598
96.35		0.0130466
96.45		0.0130334
96.55		0.0130203
96.65		0.0130072
96.75		0.0129941
96.85		0.0129811
96.95		0.0129681
97.05		0.0129551
97.15		0.0129421
97.25		0.0129292
97.35		0.0129163
97.45		0.0129034
97.55		0.0128905
97.65		0.0128777
97.75		0.0128649
97.85		0.0128521
97.95		0.0128393
98.05		0.0128266
98.15		0.0128139
98.25		0.0128012
98.35		0.0127886
98.45		0.012776
98.55		0.0127634
98.65		0.0127508
98.75		0.0127383
98.85		0.0127258
98.95		0.0127133
99.05		0.0127008
99.15		0.0126884
99.25		0.0126759
99.35		0.0126635
99.45		0.0126512
99.55		0.0126388
99.65		0.0126265
99.75		0.0126142
99.85		0.012602
99.95		0.0125897
