t [fm]		R_pi^-1
0.25		0
0.3		0.20746		
0.35		0.35437		
0.4		0.45947		
0.45		0.53521		
0.5		0.58995		
0.55		0.62938		
0.6		0.65747		
0.65		0.67703		
0.7		0.69008		
0.75		0.69812		
0.8		0.70227		
0.85		0.70336		
0.9		0.70205		
0.95		0.69884		
1		0.69412		
1.05		0.68822		
1.1		0.68138		
1.15		0.67381		
1.2		0.66566		
1.25		0.65708		
1.3		0.64817		
1.35		0.63902		
1.4		0.6297		
1.45		0.62028		
1.5		0.61081		
1.55		0.60132		
1.6		0.59185		
1.65		0.58243		
1.7		0.57309		
1.75		0.56384		
1.8		0.5547		
1.85		0.54568		
1.9		0.5368		
1.95		0.52805		
2		0.51945		
2.05		0.511		
2.1		0.5027		
2.15		0.49457		
2.2		0.48659		
2.25		0.47877		
2.3		0.47111		
2.35		0.46362		
2.4		0.45628		
2.45		0.4491		
2.5		0.44207		
2.55		0.4352		
2.6		0.42848		
2.65		0.42192		
2.7		0.4155		
2.75		0.40922		
2.8		0.40309		
2.85		0.3971		
2.9		0.39124		
2.95		0.38552		
3		0.37992		
3.05		0.37446		
3.1		0.36912		
3.15		0.36391		
3.2		0.35881		
3.25		0.35383		
3.3		0.34897		
3.35		0.34421		
3.4		0.33956		
3.45		0.33502		
3.5		0.33059		
3.55		0.32625		
3.6		0.32201		
3.65		0.31787		
3.7		0.31381		
3.75		0.30985		
3.8		0.30598		
3.85		0.30219		
3.9		0.29849		
3.95		0.29487		
4		0.29133		
4.05		0.28786		
4.1		0.28447		
4.15		0.28115		
4.2		0.27791		
4.25		0.27473		
4.3		0.27162		
4.35		0.26858		
4.4		0.2656		
4.45		0.26268		
4.5		0.25982		
4.55		0.25703		
4.6		0.25429		
4.65		0.2516		
4.7		0.24897		
4.75		0.24639		
4.8		0.24387		
4.85		0.24139		
4.9		0.23897		
4.95		0.23659		
5		0.23426		
5.05		0.23197		
5.1		0.22973		
5.15		0.22753		
5.2		0.22537		
5.25		0.22326		
5.3		0.22118		
5.35		0.21914		
5.4		0.21714		
5.45		0.21518		
5.5		0.21325		
5.55		0.21136		
5.6		0.2095		
5.65		0.20768		
5.7		0.20589		
5.75		0.20413		
5.8		0.2024		
5.85		0.2007		
5.9		0.19903		
5.95		0.19739		
6		0.19577		
6.05		0.19419		
6.1		0.19263		
6.15		0.1911		
6.2		0.18959		
6.25		0.1881		
